question_id,name,is_followed,educations,following_count,vote_from_count,user_type,show_sina_weibo,pins_count,is_following,marked_answers_text,account_status,is_force_renamed,id,favorite_count,voteup_count,commercial_question_count,is_blocking,following_columns_count,headline,url_token,participated_live_count,following_favlists_count,is_advertiser,is_bind_sina,favorited_count,is_org,follower_count,employments,type,avatar_url_template,following_topic_count,description,avatar_url,hosted_live_count,is_active,thank_to_count,mutual_followees_count,marked_answers_count,cover_url,thank_from_count,vote_to_count,is_blocked,answer_count,allow_message,articles_count,name,question_count,locations,badge,url,message_thread_token,logs_count,following_question_count,thanked_count,gender,question_id
33884500,匿名用户,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,匿名用户,,,,,,,,,,33884500
55007229,杨思怡,false,[],0,0,people,false,0,false,,[],false,47744c618f312a8600d3524db8e4343f,0,0,0,false,0,学生,yang-si-yi-74,0,0,false,false,0,false,0,[],people,https://pic1.zhimg.com/da8e974dc_{size}.jpg,5,,https://pic1.zhimg.com/da8e974dc_is.jpg,0,1484282220,0,0,0,,0,0,false,0,true,0,杨思怡,3,[],[],http://www.zhihu.com/api/v4/people/47744c618f312a8600d3524db8e4343f,6465010610,7,3,0,-1,55007229
27847453,Sunny 徐,false,[],5,0,people,false,0,false,,[],false,9717b377cfb431629dd0bd18b5562ee7,1,10,0,false,2,工程机械,sunny-xue-27,0,1,false,false,2,false,3,[],people,https://pic4.zhimg.com/67262068aaa3e2cfffac0173a7b47863_{size}.jpg,9,,https://pic4.zhimg.com/67262068aaa3e2cfffac0173a7b47863_is.jpg,0,1,0,0,0,,0,0,false,5,true,0,Sunny 徐,18,[],[],http://www.zhihu.com/api/v4/people/9717b377cfb431629dd0bd18b5562ee7,9211725200,63,29,1,1,27847453
35945159,heyibin1987,false,[],92,0,people,false,0,false,,[],false,891dc510cb17e1608034f9f17c7e213d,16,37,0,false,9,,heyibin1987,1,28,false,false,23,false,27,[],people,https://pic1.zhimg.com/da8e974dc_{size}.jpg,97,,https://pic1.zhimg.com/da8e974dc_is.jpg,0,1438086007,0,0,0,,0,0,false,30,true,0,heyibin1987,7,[],[],http://www.zhihu.com/api/v4/people/891dc510cb17e1608034f9f17c7e213d,4152937200,65,138,10,1,35945159
56568158,太郎君,false,[],108,0,people,false,0,false,,[],false,967e3d06ea1bf86d7efe1088d5458ce5,11,0,0,false,1,卡夫卡主义,chen-jian-74-9,0,0,false,false,0,false,1,[],people,https://pic1.zhimg.com/v2-9a4bf68aab583dc9589e8e13421c89b4_{size}.jpg,12,简单的阿蒙,https://pic1.zhimg.com/v2-9a4bf68aab583dc9589e8e13421c89b4_is.jpg,0,1454928807,0,0,0,,0,0,false,0,true,0,太郎君,9,[],[],http://www.zhihu.com/api/v4/people/967e3d06ea1bf86d7efe1088d5458ce5,9577558300,69,22,0,-1,56568158
57451931,小五,false,[],0,0,people,false,0,false,,[],false,e5d865651ec49880aa597e488b363548,0,0,0,false,0,广告,xiao-wu-35-70-16,0,0,false,false,0,false,0,[],people,https://pic1.zhimg.com/da8e974dc_{size}.jpg,0,,https://pic1.zhimg.com/da8e974dc_is.jpg,0,1490157409,0,0,0,,0,0,false,0,true,0,小五,1,[],[],http://www.zhihu.com/api/v4/people/e5d865651ec49880aa597e488b363548,6143731510,4,1,0,-1,57451931
22008560,陈杰,false,"[{""major"":{""introduction"":""软件工程 (Software Engineering) 是一门研究和应用如何以系统性的、规范化的、可定量的过程化方法去开发和维护软件，以及如何把经过时间考验而证明正确的管理技术和当前能够得到的最好的技术方法结合起来的学科。"",""avatar_url"":""https://pic2.zhimg.com/4670f7361_is.jpg"",""name"":""软件工程"",""url"":""http://www.zhihu.com/api/v4/topics/19557552"",""type"":""topic"",""excerpt"":""软件工程 (Software Engineering) 是一门研究和应用如何以系统性的、规范化的、可定量的过程化方法去开发和维护软件，以及如何把经过时间考验而证明正确的管理技术和当前能够得到的最好的技术方法结合起来的学科。"",""id"":""19557552""},""school"":{""introduction"":""南京邮电大学坐落于六朝古都——江苏省南京市，是原由工业与信息化部直属、现工信部与江苏省政府共建的以信息科技为特色、工学门类为主体、工管文理协调发展的多科性全国重点大学。首批入选国家“2011计划（14个协同创新中心）”建设，同时也是进入教育部“卓越工程师教育培养计划”建设的名牌高校。"",""avatar_url"":""https://pic3.zhimg.com/v2-1df23756af2a848c0f60b43e6baf024e_is.jpg"",""name"":""南京邮电大学"",""url"":""http://www.zhihu.com/api/v4/topics/19693420"",""type"":""topic"",""excerpt"":""南京邮电大学坐落于六朝古都——江苏省南京市，是原由工业与信息化部直属、现工信部与江苏省政府共建的以信息科技为特色、工学门类为主体、工管文理协调发展的多科性全国重点大学。首批入选国家“2011计划（14个协同创新中心）”建设，同时也是进入教育部“卓越工程师教育培养计划”建设的名牌高校。"",""id"":""19693420""}}]",24,0,people,false,0,false,,[],false,5bae124a06571569836ccdd53b3e6df2,16,199,0,false,23,,jackchan,0,14,false,true,26,false,10,"[{""company"":{""introduction"":"""",""avatar_url"":""https://pic1.zhimg.com/e82bab09c_is.jpg"",""name"":""Wincor-Nixdorf"",""url"":""http://www.zhihu.com/api/v4/topics/"",""type"":""topic"",""excerpt"":"""",""id"":""""},""job"":{""introduction"":""程序员（俗称“码农”）有专业和业余之分，而软件工程师（Software Engineer）是一种比较正式的称谓，也是专业（职业）程序员的别称。软件工程师有时也被称作软件设计师。"",""avatar_url"":""https://pic4.zhimg.com/188c7ca4375aabd937ed292a4972753f_is.png"",""name"":""软件工程师"",""url"":""http://www.zhihu.com/api/v4/topics/19558713"",""type"":""topic"",""excerpt"":""程序员（俗称“码农”）有专业和业余之分，而软件工程师（Software Engineer）是一种比较正式的称谓，也是专业（职业）程序员的别称。软件工程师有时也被称作软件设计师。"",""id"":""19558713""}}]",people,https://pic3.zhimg.com/550ca56ba_{size}.jpg,98,,https://pic3.zhimg.com/550ca56ba_is.jpg,0,1,0,0,0,,0,0,false,35,true,0,陈杰,5,"[{""introduction"":""上海，又称「上海滩」。中国第一大城市，四大直辖市之一，中国国家中心城市，中国的经济、科技、工业、金融、贸易、会展和航运中心。上海位于中国大陆海岸线中部长江口，拥有中国最大外贸港口和最大工业基地。隔海与日本九州岛相望，南濒杭州湾，西部与江苏、浙江两省相接。上海港货物吞吐量居世界第一。上海是一座新兴的旅游城市，有深厚近代城市文化底蕴和众多历史古迹，举办过世博会。江南的传统与移民带入的文化融合，逐渐形成了特有的海派文化。上海早已成为国际大都市，并致力于在2020年建设成为国际金融和航运中心。"",""avatar_url"":""https://pic2.zhimg.com/aea66d640b12450a861282066d78bb2d_is.jpg"",""name"":""上海"",""url"":""http://www.zhihu.com/api/v4/topics/19550818"",""type"":""topic"",""excerpt"":""上海，又称「上海滩」。中国第一大城市，四大直辖市之一，中国国家中心城市，中国的经济、科技、工业、金融、贸易、会展和航运中心。上海位于中国大陆海岸线中部长江口，拥有中国最大外贸港口和最大工业基地。隔海与日本九州岛相望，南濒杭州湾，西部与江苏、浙江两省相接。上海港货物吞吐量居世界第一。上海是一座新兴的旅游城市，有深厚近代城市文化底蕴和众多历史古迹，举办过世博会。江南的传统与移民带入的文化融合，逐渐形…"",""id"":""19550818""}]",[],http://www.zhihu.com/api/v4/people/5bae124a06571569836ccdd53b3e6df2,2285664000,60,414,38,1,22008560
55985337,是我是大树噢,false,"[{""school"":{""introduction"":"""",""avatar_url"":""https://pic1.zhimg.com/e82bab09c_is.jpg"",""name"":""成都市实验外国语学校西区"",""url"":""http://www.zhihu.com/api/v4/topics/"",""type"":""topic"",""excerpt"":"""",""id"":""""}}]",32,0,people,false,0,false,,[],false,115871a4a70464da8e8350aa4581042a,5,4,0,false,4,,lu-hui-hao-62,0,1,false,false,0,false,1,[],people,https://pic2.zhimg.com/v2-3c612596c1f8a957657c5e56bac8b5e9_{size}.jpg,7,,https://pic2.zhimg.com/v2-3c612596c1f8a957657c5e56bac8b5e9_is.jpg,0,1,0,0,0,,0,0,false,2,true,0,是我是大树噢,4,"[{""introduction"":""\u003cp\u003e成都市，别称“蓉城”、“锦官城”，简称“蓉”，地处四川盆地西部的成都平原腹地，是国家中心城市、四川省省会、副省级城市。总面积12121平方千米，总人口1417.8万人。\u003c/p\u003e\u003cp\u003e成都是中国西南地区物流、商贸、金融、科技、文化、教育中心及交通、通信枢纽，国家统筹城乡综合配套改革试验区。\u003c/p\u003e\u003cp\u003e成都作为首批国家历史文化名城之一，自古就被誉为“天府之国”，是中国开发最早、持续繁荣时间最长的城市之一，历朝历代都跻身中国最发达的大都市行列。\u003c/p\u003e\u003cp\u003e如今，成都所在的成渝经济区是中国西部经济最领先的区域。\u003c/p\u003e\u003cp\u003e成都的美食以及饮食文化在中国乃至世界都十分知名。2010年2月，成都获批加入联合国教科文组织创意城市网络并被授予“美食之都”称号。\u003c/p\u003e"",""avatar_url"":""https://pic2.zhimg.com/f619e5ff9_is.jpg"",""name"":""成都"",""url"":""http://www.zhihu.com/api/v4/topics/19555944"",""type"":""topic"",""excerpt"":""成都市，别称“蓉城”、“锦官城”，简称“蓉”，地处四川盆地西部的成都平原腹地，是国家中心城市、四川省省会、副省级城市。总面积12121平方千米，总人口1417.8万人。成都是中国西南地区物流、商贸、金融、科技、文化、教育中心及交通、通信枢纽，国家统筹城乡综合配套改革试验区。成都作为首批国家历史文化名城之一，自古就被誉为“天府之国”，是中国开发最早、持续繁荣时间最长的城市之一，历朝历代都跻身中国最发达的大都…"",""id"":""19555944""}]",[],http://www.zhihu.com/api/v4/people/115871a4a70464da8e8350aa4581042a,3476005700,18,34,0,0,55985337
56635291,凌珊,false,[],465,0,people,false,0,false,,[],false,3f5284f63bbcce404e49df26851fbfa9,5,0,0,false,10,删除回答，退出知乎,ling-shan1,0,0,false,false,10067,false,6645,[],people,https://pic3.zhimg.com/1c658644ff6e6575136d66faf7ce4326_{size}.jpg,22,,https://pic3.zhimg.com/1c658644ff6e6575136d66faf7ce4326_is.jpg,0,1,0,0,0,,0,0,false,0,true,0,凌珊,0,"[{""introduction"":""上海，又称「上海滩」。中国第一大城市，四大直辖市之一，中国国家中心城市，中国的经济、科技、工业、金融、贸易、会展和航运中心。上海位于中国大陆海岸线中部长江口，拥有中国最大外贸港口和最大工业基地。隔海与日本九州岛相望，南濒杭州湾，西部与江苏、浙江两省相接。上海港货物吞吐量居世界第一。上海是一座新兴的旅游城市，有深厚近代城市文化底蕴和众多历史古迹，举办过世博会。江南的传统与移民带入的文化融合，逐渐形成了特有的海派文化。上海早已成为国际大都市，并致力于在2020年建设成为国际金融和航运中心。"",""avatar_url"":""https://pic2.zhimg.com/aea66d640b12450a861282066d78bb2d_is.jpg"",""name"":""上海"",""url"":""http://www.zhihu.com/api/v4/topics/19550818"",""type"":""topic"",""excerpt"":""上海，又称「上海滩」。中国第一大城市，四大直辖市之一，中国国家中心城市，中国的经济、科技、工业、金融、贸易、会展和航运中心。上海位于中国大陆海岸线中部长江口，拥有中国最大外贸港口和最大工业基地。隔海与日本九州岛相望，南濒杭州湾，西部与江苏、浙江两省相接。上海港货物吞吐量居世界第一。上海是一座新兴的旅游城市，有深厚近代城市文化底蕴和众多历史古迹，举办过世博会。江南的传统与移民带入的文化融合，逐渐形…"",""id"":""19550818""}]",[],http://www.zhihu.com/api/v4/people/3f5284f63bbcce404e49df26851fbfa9,5669854000,675,144,0,0,56635291
27683586,莫燕,false,[],0,0,people,false,0,false,,"[{""created_at"":1463051047,""expired_at"":0,""reason"":""ads"",""name"":""hang""}]",false,2af743e81e880123776c83c6d141ba3c,0,0,0,false,0,,mo-yan-70-77,0,0,false,false,0,false,0,[],people,https://pic4.zhimg.com/6dcc1fe9a49d718d31d9c2111e646d33_{size}.jpg,0,,https://pic4.zhimg.com/6dcc1fe9a49d718d31d9c2111e646d33_is.jpg,0,1,0,0,0,,0,0,false,0,true,0,莫燕,2,[],[],http://www.zhihu.com/api/v4/people/2af743e81e880123776c83c6d141ba3c,5538665100,13,7,0,0,27683586
